epoch,accuracy,loss
0,0.050991564989089966,0.0025766610633581877
1,0.06554381549358368,0.0006434937822632492
2,0.07105856388807297,0.000635644537396729
3,0.07377804070711136,0.0006299451924860477
4,0.0756692886352539,0.000625021115411073
5,0.076932892203331,0.0006203700904734433
6,0.07791733741760254,0.0006158236064948142
7,0.07885833829641342,0.000611750700045377
8,0.07964404672384262,0.0006082099280320108
9,0.0802374854683876,0.0006051333039067686
10,0.0807662233710289,0.000602450396399945
11,0.08111655712127686,0.0006001009023748338
12,0.08141512423753738,0.0005980306304991245
13,0.08167210221290588,0.0005962024442851543
14,0.081899493932724,0.0005945843877270818
15,0.08214444667100906,0.0005931434570811689
16,0.08234503865242004,0.0005918742390349507
17,0.08252528309822083,0.000590745301451534
18,0.08269259333610535,0.0005897618248127401
19,0.08280906826257706,0.0005888817831873894
20,0.08288486301898956,0.000588123279158026
21,0.08297359943389893,0.000587458664085716
22,0.0830632671713829,0.0005868731532245874
23,0.08310209214687347,0.0005863726255483925
24,0.08311502635478973,0.0005859219236299396
25,0.08318065851926804,0.0005855470662936568
26,0.08322779834270477,0.000585194502491504
27,0.08320284634828568,0.0005849070730619133
28,0.08324721455574036,0.0005846142303198576
29,0.08322687447071075,0.0005844063707627356
