epoch,accuracy,loss
0,0.0470796599984169,0.0069644697941839695
1,0.05005703493952751,0.0006601333152502775
2,0.05531296133995056,0.000655754585750401
3,0.05829310789704323,0.0006520267343148589
4,0.05946612358093262,0.0006502923206426203
5,0.06003275886178017,0.0006493677501566708
6,0.06038494035601616,0.0006487890495918691
7,0.06067981198430061,0.0006483955658040941
8,0.060785189270973206,0.0006481189629994333
9,0.06081107258796692,0.0006478984723798931
10,0.060908131301403046,0.0006477186689153314
11,0.06094048544764519,0.0006475661648437381
12,0.060930315405130386,0.0006474441615864635
13,0.06091829761862755,0.0006473473622463644
14,0.06096266955137253,0.0006472679669968784
15,0.060959894210100174,0.0006472046370618045
16,0.06096266955137253,0.000647153181489557
17,0.060946956276893616,0.0006471146480180323
18,0.060970064252614975,0.0006470779771916568
19,0.06097930669784546,0.0006470492808148265
20,0.06099040061235428,0.0006470213993452489
21,0.06102460250258446,0.0006469968357123435
22,0.06103939190506935,0.0006469718064181507
23,0.06104216352105141,0.0006469504442065954
24,0.06103384494781494,0.0006469279178418219
25,0.061019979417324066,0.0006469078944064677
26,0.06101350858807564,0.0006468881038017571
27,0.06104771047830582,0.0006468672072514892
28,0.06106897071003914,0.0006468427600339055
29,0.06104216352105141,0.0006468223873525858
