epoch,accuracy,loss,lr
0,0.05345919728279114,6.616487503051758,0.001
1,0.0694662481546402,6.2720842361450195,0.001
2,0.07643985748291016,6.1028828620910645,0.001
3,0.08112408965826035,5.9482598304748535,0.001
4,0.08285198360681534,5.804240703582764,0.001
5,0.08312497287988663,5.669011116027832,0.001
6,0.08338554948568344,5.5442328453063965,0.001
7,0.08338865637779236,5.433897495269775,0.001
8,0.0833793506026268,5.3379807472229,0.001
9,0.0824083760380745,5.258930206298828,0.001
0,0.05839160084724426,6.600732803344727,0.001
1,0.07327567785978317,6.209561347961426,0.001
2,0.07856172323226929,5.985330104827881,0.001
3,0.08084800094366074,5.777592182159424,0.001
4,0.08129160851240158,5.589411735534668,0.001
5,0.080906942486763,5.430574417114258,0.001
6,0.079501673579216,5.307519435882568,0.001
7,0.07893087714910507,5.220870494842529,0.001
8,0.07778308540582657,5.168661594390869,0.001
9,0.07763728499412537,5.1361517906188965,0.001
0,0.044801123440265656,6.692591190338135,0.001
1,0.04885251820087433,6.4391889572143555,0.001
2,0.059347059577703476,6.342807292938232,0.001
3,0.06624622642993927,6.256472110748291,0.001
4,0.07210306823253632,6.178705215454102,0.001
5,0.07781410962343216,6.110021591186523,0.001
6,0.08100621402263641,6.048488140106201,0.001
7,0.08289231359958649,5.993166923522949,0.001
8,0.083556167781353,5.942811012268066,0.001
9,0.08424484729766846,5.895658493041992,0.001
0,0.04463981091976166,6.69312047958374,0.001
1,0.0495753176510334,6.437874794006348,0.001
2,0.06024978309869766,6.338029861450195,0.001
3,0.06719547510147095,6.252042770385742,0.001
4,0.07341837137937546,6.175954818725586,0.001
5,0.0783383697271347,6.109535217285156,0.001
6,0.08093176037073135,6.049874782562256,0.001
7,0.08262553066015244,5.9944353103637695,0.001
8,0.08349722623825073,5.943400859832764,0.001
9,0.08422933518886566,5.896719455718994,0.001
10,0.08503589034080505,5.853157997131348,0.001
11,0.08551982790231705,5.812713623046875,0.001
12,0.08596963435411453,5.775210857391357,0.001
13,0.0860782116651535,5.739920139312744,0.001
14,0.08645357191562653,5.706979274749756,0.001
0,0.04475148767232895,6.692483425140381,0.001
1,0.04919065162539482,6.440246105194092,0.001
2,0.0600140206515789,6.339293956756592,0.001
3,0.06629275530576706,6.25426721572876,0.001
4,0.07249704003334045,6.178175926208496,0.001
5,0.07788235694169998,6.110994815826416,0.001
6,0.08091004192829132,6.050289630889893,0.001
7,0.08246731758117676,5.994520664215088,0.001
8,0.08343829214572906,5.9435577392578125,0.001
9,0.08427586406469345,5.896098613739014,0.001
10,0.0847846195101738,5.852415084838867,0.001
11,0.0854950100183487,5.812148094177246,0.001
12,0.08572456985712051,5.774383544921875,0.001
13,0.08605649322271347,5.739391803741455,0.001
14,0.08654973655939102,5.7063517570495605,0.001
15,0.08672035485506058,5.676019668579102,0.001
16,0.0869499146938324,5.647674560546875,0.001
17,0.08743074536323547,5.621915817260742,0.001
18,0.0870460793375969,5.5968732833862305,0.001
19,0.08733458071947098,5.5743088722229,0.001
0,0.08751450479030609,5.55277681350708,0.001
1,0.08765719830989838,5.533010482788086,0.001
2,0.0875641331076622,5.51500940322876,0.001
3,0.08788055181503296,5.497725486755371,0.001
4,0.08772855252027512,5.482443809509277,0.001
5,0.08735008537769318,5.4673051834106445,0.001
6,0.08780920505523682,5.45396614074707,0.001
7,0.08799533545970917,5.441557884216309,0.001
8,0.0874679684638977,5.430183410644531,0.001
9,0.08771924674510956,5.419566631317139,0.001
10,0.08759515732526779,5.409618377685547,0.001
11,0.08765099942684174,5.400476455688477,0.001
12,0.08760446310043335,5.391763687133789,0.001
13,0.08762618154287338,5.384252548217773,0.001
14,0.08736559748649597,5.377071380615234,0.001
15,0.08761997520923615,5.370602607727051,0.001
16,0.08758895099163055,5.364174842834473,0.001
17,0.08751450479030609,5.358630180358887,0.001
18,0.08747107535600662,5.353585720062256,0.001
19,0.08746176958084106,5.34794282913208,0.001
20,0.08735629171133041,5.343726634979248,0.001
21,0.08719808608293533,5.339494705200195,0.001
22,0.08727563917636871,5.3355937004089355,0.001
23,0.08747417479753494,5.331462383270264,0.001
24,0.08729115128517151,5.327779293060303,0.001
0,0.048024244606494904,6.653731822967529,0.001
1,0.06277182698249817,6.338037490844727,0.001
2,0.07212477922439575,6.197678565979004,0.001
3,0.07879748940467834,6.078274726867676,0.001
4,0.08184689283370972,5.970736026763916,0.001
5,0.083556167781353,5.8707380294799805,0.001
6,0.08446510136127472,5.777379035949707,0.001
7,0.08492732048034668,5.687994956970215,0.001
8,0.08522822707891464,5.604703903198242,0.001
9,0.08583004027605057,5.5274152755737305,0.001
10,0.08582694083452225,5.4561448097229,0.001
11,0.08540194481611252,5.391569137573242,0.001
12,0.08511034399271011,5.333801746368408,0.001
13,0.08479082584381104,5.282021522521973,0.001
14,0.08492421358823776,5.238292694091797,0.001
15,0.08469776064157486,5.200417518615723,0.001
16,0.08439374715089798,5.167539119720459,0.001
17,0.08429137617349625,5.140273571014404,0.001
18,0.0839935690164566,5.117132663726807,0.001
19,0.08381054550409317,5.097805500030518,0.001
20,0.08316530287265778,5.08249568939209,0.001
21,0.08359649777412415,5.067734718322754,0.001
22,0.08339796215295792,5.057636737823486,0.001
23,0.08301329612731934,5.047870635986328,0.001
24,0.08306603133678436,5.039175033569336,0.001
0,0.04474528133869171,6.709974765777588,0.001
1,0.045697640627622604,6.465765953063965,0.001
2,0.05417269095778465,6.389120578765869,0.001
3,0.06067477911710739,6.318413734436035,0.001
0,0.04459638148546219,6.708920001983643,0.001
1,0.04602646827697754,6.460404396057129,0.001
2,0.05422232300043106,6.3853759765625,0.001
3,0.060352154076099396,6.320167541503906,0.001
4,0.0658801719546318,6.258246421813965,0.001
5,0.07084669917821884,6.201653003692627,0.001
6,0.0751214474439621,6.150834083557129,0.001
7,0.07836628705263138,6.104907989501953,0.001
8,0.08044472336769104,6.062908172607422,0.001
9,0.08179105073213577,6.024855613708496,0.001
10,0.08281165361404419,5.989973068237305,0.001
11,0.083525151014328,5.958545207977295,0.001
12,0.08401218801736832,5.9301066398620605,0.001
13,0.08444338291883469,5.90461540222168,0.001
14,0.08459228277206421,5.880826950073242,0.001
15,0.08523132652044296,5.859229564666748,0.001
16,0.08525924384593964,5.839428901672363,0.001
17,0.08569354563951492,5.820621013641357,0.001
18,0.08569975197315216,5.803703308105469,0.001
19,0.08585795760154724,5.787658214569092,0.001
20,0.08609992265701294,5.77220344543457,0.001
21,0.08631087094545364,5.7580156326293945,0.001
22,0.08617127686738968,5.745016098022461,0.001
23,0.08626123517751694,5.732634544372559,0.001
24,0.08623641729354858,5.720755577087402,0.001
25,0.08654353022575378,5.709901332855225,0.001
26,0.08655594289302826,5.699156284332275,0.001
27,0.08652181923389435,5.689925193786621,0.001
28,0.08665210753679276,5.680392742156982,0.001
29,0.08688166737556458,5.671797752380371,0.001
30,0.0870150551199913,5.663418769836426,0.001
31,0.08688787370920181,5.655604839324951,0.001
32,0.0867389664053917,5.648390293121338,0.001
33,0.08698713779449463,5.6413493156433105,0.001
34,0.08693130314350128,5.634706497192383,0.001
0,0.05432630702853203,6.697046279907227,0.001
1,0.07160984724760056,6.44205904006958,0.001
2,0.07670068740844727,6.3663225173950195,0.001
0,0.059776514768600464,6.651256561279297,0.001
1,0.07547685503959656,6.391991138458252,0.001
2,0.07859659194946289,6.314908504486084,0.001
3,0.08034314960241318,6.269372463226318,0.001
4,0.08134659379720688,6.237055778503418,0.001
5,0.08198806643486023,6.212007999420166,0.001
6,0.08238944411277771,6.189924716949463,0.001
7,0.08257042616605759,6.169755458831787,0.001
8,0.08294069021940231,6.150940895080566,0.001
9,0.08313359320163727,6.132722854614258,0.001
10,0.0832647979259491,6.11598014831543,0.001
11,0.08332546800374985,6.100808620452881,0.001
12,0.08350645005702972,6.089376926422119,0.001
13,0.08367498964071274,6.081964015960693,0.001
14,0.08358423411846161,6.076653957366943,0.001
15,0.08356401324272156,6.070914268493652,0.001
16,0.08370713889598846,6.063116550445557,0.001
17,0.08362364768981934,6.059258937835693,0.001
18,0.08360756933689117,6.05496883392334,0.001
19,0.08365009725093842,6.052429676055908,0.001
20,0.08372995257377625,6.049459934234619,0.001
21,0.08371076732873917,6.046413421630859,0.001
22,0.08387256413698196,6.04576301574707,0.001
23,0.083805151283741,6.043787002563477,0.001
24,0.0837097316980362,6.042638301849365,0.001
25,0.0838456004858017,6.041450500488281,0.001
26,0.08375173807144165,6.040394306182861,0.001
27,0.0838269293308258,6.04041862487793,0.001
28,0.08396071940660477,6.03916072845459,0.001
29,0.0838233008980751,6.03865909576416,0.001
