epoch,accuracy,loss
0,0.049421995878219604,0.0031567239202558994
1,0.06278736144304276,0.0006469762302003801
2,0.06919319927692413,0.0006394347874447703
3,0.07233603298664093,0.000634353666100651
4,0.07428551465272903,0.0006303173722699285
5,0.07568869739770889,0.0006267894641496241
6,0.07682289183139801,0.0006235906039364636
7,0.07765112072229385,0.0006208625854924321
8,0.07839153707027435,0.000618602498434484
9,0.0790136307477951,0.0006166776875033975
10,0.07960522174835205,0.0006150219705887139
11,0.08003135770559311,0.0006135975127108395
12,0.08041773736476898,0.0006123797502368689
13,0.08075512945652008,0.0006113465642556548
14,0.08095941692590714,0.0006104854983277619
15,0.08114705979824066,0.0006097713485360146
16,0.08126723021268845,0.0006091872346587479
17,0.08137352764606476,0.0006086925859563053
18,0.08147798478603363,0.0006082679028622806
19,0.08153529465198517,0.0006079123122617602
20,0.0816175639629364,0.0006076163263060153
21,0.0816628560423851,0.0006073914119042456
22,0.0816573053598404,0.0006072258111089468
23,0.08165176212787628,0.0006071056122891605
24,0.08163420110940933,0.0006070256931707263
25,0.08170445263385773,0.0006069754017516971
26,0.08170445263385773,0.000606940477155149
27,0.08171739429235458,0.0006069181836210191
28,0.08172570914030075,0.0006069053197279572
29,0.08170445263385773,0.0006068695220164955
