epoch,accuracy,loss,lr
0,0.06412246823310852,6.618996620178223,0.001
1,0.0772320032119751,6.354533672332764,0.001
2,0.07989910989999771,6.2655134201049805,0.001
3,0.08124374598264694,6.206543445587158,0.001
4,0.08202825486660004,6.159074783325195,0.001
5,0.0825527012348175,6.119260311126709,0.001
6,0.08288682997226715,6.083621025085449,0.001
7,0.08303821831941605,6.051999092102051,0.001
8,0.08321285247802734,6.024564743041992,0.001
9,0.08334261178970337,5.998316287994385,0.001
10,0.08351454883813858,5.974520206451416,0.001
11,0.08353347331285477,5.955258369445801,0.001
12,0.08361943811178207,5.936082363128662,0.001
13,0.08363132923841476,5.923624038696289,0.001
14,0.08353995531797409,5.9111127853393555,0.001
15,0.0837329775094986,5.900688171386719,0.001
16,0.0836653932929039,5.888731479644775,0.001
17,0.08362970501184464,5.875362873077393,0.001
18,0.08369026333093643,5.864596843719482,0.001
19,0.0836210548877716,5.8572998046875,0.001
20,0.08374270796775818,5.852393627166748,0.001
21,0.08364105969667435,5.848799228668213,0.001
22,0.08362214267253876,5.847938537597656,0.001
23,0.08367728441953659,5.846132755279541,0.001
24,0.08376108855009079,5.843671798706055,0.001
25,0.0837632566690445,5.843850612640381,0.001
26,0.08370107412338257,5.843380451202393,0.001
27,0.08365295827388763,5.842771053314209,0.001
28,0.08367998898029327,5.84265661239624,0.001
29,0.08368323743343353,5.842516899108887,0.001
