epoch,accuracy,loss,lr
0,0.054941851645708084,6.693635940551758,0.001
1,0.07202418893575668,6.438739776611328,0.001
2,0.07664935290813446,6.364102363586426,0.001
3,0.07836168259382248,6.32940149307251,0.001
4,0.07927903532981873,6.307405471801758,0.001
5,0.08005274832248688,6.292770862579346,0.001
6,0.08059413731098175,6.280137538909912,0.001
7,0.08094780892133713,6.26876974105835,0.001
8,0.08120191097259521,6.257970333099365,0.001
9,0.08131858706474304,6.246893882751465,0.001
10,0.0813751146197319,6.234991073608398,0.001
11,0.0814414918422699,6.225305557250977,0.001
12,0.08149179071187973,6.220174789428711,0.001
13,0.08168366551399231,6.218292713165283,0.001
14,0.08159654587507248,6.218423843383789,0.001
15,0.08168262988328934,6.220362663269043,0.001
16,0.08149438351392746,6.219470977783203,0.001
17,0.08152498304843903,6.220066547393799,0.001
18,0.08147882670164108,6.22114372253418,0.001
